measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,France,Male,Under 5,Cardiovascular diseases,Number,2019,17.200180217157666,21.260767228048646,13.506939755616076
Deaths,France,Female,Under 5,Cardiovascular diseases,Number,2019,16.6901400696345,19.8446202869566,13.589128881835745
Deaths,France,Male,Under 5,Cardiovascular diseases,Percent,2019,0.011822768048680333,0.013952960995884854,0.009479037679547957
Deaths,France,Female,Under 5,Cardiovascular diseases,Percent,2019,0.014592356976371876,0.016817586146988545,0.012073584485636607
Deaths,France,Male,Under 5,Cardiovascular diseases,Rate,2019,0.9220335498190344,1.1397055398058678,0.7240535536737842
Deaths,France,Female,Under 5,Cardiovascular diseases,Rate,2019,0.9350629422569807,1.1117922891045326,0.7613291908841916
Deaths,France,Male,Early Neonatal,Cardiovascular diseases,Number,2019,1.8499063256054566,2.6319142269201787,1.2665985669203335
Deaths,France,Female,Early Neonatal,Cardiovascular diseases,Number,2019,1.3991480150950102,1.9240057399524186,0.9970456442348268
Deaths,France,Male,Early Neonatal,Cardiovascular diseases,Percent,2019,0.003223510101349176,0.00438841221579634,0.002284463052370688
Deaths,France,Female,Early Neonatal,Cardiovascular diseases,Percent,2019,0.003141263661716816,0.004135480172316305,0.0023073380846278012
Deaths,France,Male,Early Neonatal,Cardiovascular diseases,Rate,2019,26.506895623217126,37.71211262786527,18.14880869650811
Deaths,France,Female,Early Neonatal,Cardiovascular diseases,Rate,2019,20.99422641992305,28.869720502765915,14.960677340947786
Deaths,France,Male,Late Neonatal,Cardiovascular diseases,Number,2019,2.251171635216104,3.1082707465288726,1.5506030768604984
Deaths,France,Female,Late Neonatal,Cardiovascular diseases,Number,2019,1.8103633524755,2.4637613683569923,1.2962575491214963
Deaths,France,Male,Late Neonatal,Cardiovascular diseases,Percent,2019,0.0088461001361138,0.01170309328088137,0.006417912917801894
Deaths,France,Female,Late Neonatal,Cardiovascular diseases,Percent,2019,0.008860528806141707,0.011778838146319397,0.006495075399460095
Deaths,France,Male,Late Neonatal,Cardiovascular diseases,Rate,2019,10.763672402846872,14.861775766723095,7.413998686319896
Deaths,France,Female,Late Neonatal,Cardiovascular diseases,Rate,2019,9.062678558938908,12.333588888009198,6.489065016270023
Deaths,France,Male,Post Neonatal,Cardiovascular diseases,Number,2019,6.115240054875709,8.526833368730554,4.007855192311024
Deaths,France,Female,Post Neonatal,Cardiovascular diseases,Number,2019,6.259872110726079,8.411837016965185,4.398188879288065
Deaths,France,Male,Post Neonatal,Cardiovascular diseases,Percent,2019,0.016584825059935436,0.022528167592244172,0.011670183373558768
Deaths,France,Female,Post Neonatal,Cardiovascular diseases,Percent,2019,0.021687796745347095,0.0286435422792023,0.015594745896151733
Deaths,France,Male,Post Neonatal,Cardiovascular diseases,Rate,2019,1.8221431157572274,2.5407196745536758,1.1942108048233986
Deaths,France,Female,Post Neonatal,Cardiovascular diseases,Rate,2019,1.95257101325247,2.6238090550423814,1.3718772467878986
Deaths,France,Male,1 to 4,Cardiovascular diseases,Number,2019,6.983862201460406,8.598804768095063,5.473164531934926
Deaths,France,Female,1 to 4,Cardiovascular diseases,Number,2019,7.220756591337907,8.579605542282922,5.767717231818971
Deaths,France,Male,1 to 4,Cardiovascular diseases,Percent,2019,0.026985026059203363,0.03263661266035202,0.021486339232790117
Deaths,France,Female,1 to 4,Cardiovascular diseases,Percent,2019,0.035046551663632325,0.04124143881310986,0.028116706741889645
Deaths,France,Male,1 to 4,Cardiovascular diseases,Rate,2019,0.4649829499576546,0.5725052258824198,0.36440126054184335
Deaths,France,Female,1 to 4,Cardiovascular diseases,Rate,2019,0.5022489683167206,0.5967654466216531,0.40118095556616795
Deaths,France,Male,5 to 9,Cardiovascular diseases,Number,2019,4.204574046240017,5.359929097935235,3.2604534097735915
Deaths,France,Female,5 to 9,Cardiovascular diseases,Number,2019,4.454670027368778,5.506210987369319,3.4492318917473113
Deaths,France,Male,5 to 9,Cardiovascular diseases,Percent,2019,0.02449858389255078,0.0309090494934539,0.019252987181246243
Deaths,France,Female,5 to 9,Cardiovascular diseases,Percent,2019,0.03428543255933965,0.04244474497316513,0.026619185481352396
Deaths,France,Male,5 to 9,Cardiovascular diseases,Rate,2019,0.20425501652864636,0.26038128819973166,0.15839035245430658
Deaths,France,Female,5 to 9,Cardiovascular diseases,Rate,2019,0.226568703794508,0.2800510651883727,0.17543117537292985
Deaths,France,Male,10 to 14,Cardiovascular diseases,Number,2019,6.838235580274714,8.702308807628349,5.267883229870869
Deaths,France,Female,10 to 14,Cardiovascular diseases,Number,2019,5.9974634160319935,7.4640207837463395,4.758540929882398
Deaths,France,Male,10 to 14,Cardiovascular diseases,Percent,2019,0.034242040419773224,0.043451332146501945,0.026631536508315453
Deaths,France,Female,10 to 14,Cardiovascular diseases,Percent,2019,0.041906284296092666,0.05207172979758032,0.03322271428182662
Deaths,France,Male,10 to 14,Cardiovascular diseases,Rate,2019,0.3233591462120995,0.4115054407054651,0.24910200936476806
Deaths,France,Female,10 to 14,Cardiovascular diseases,Rate,2019,0.2967003018713372,0.36925230986680424,0.23540961110144198
Deaths,France,Male,15 to 19,Cardiovascular diseases,Number,2019,20.51242983765433,25.662496278394787,16.02382528269642
Deaths,France,Female,15 to 19,Cardiovascular diseases,Number,2019,13.973015319638959,17.193071073797306,11.198578391242437
Deaths,France,Male,15 to 19,Cardiovascular diseases,Percent,2019,0.03051614338098856,0.03818880241274694,0.023844622614662934
Deaths,France,Female,15 to 19,Cardiovascular diseases,Percent,2019,0.047792433678969744,0.058796607190142694,0.038380441123491094
Deaths,France,Male,15 to 19,Cardiovascular diseases,Rate,2019,0.971391377001777,1.2152791158564902,0.7588279803702814
Deaths,France,Female,15 to 19,Cardiovascular diseases,Rate,2019,0.6960870862832379,0.8564990787063287,0.5578742758492726
Deaths,France,Male,20 to 24,Cardiovascular diseases,Number,2019,34.01351631650855,42.17394986581877,26.75199846869309
Deaths,France,Female,20 to 24,Cardiovascular diseases,Number,2019,21.754051973753498,26.9019766114797,17.309726778242855
Deaths,France,Male,20 to 24,Cardiovascular diseases,Percent,2019,0.029470358516399387,0.03654444853465463,0.02321692205384808
Deaths,France,Female,20 to 24,Cardiovascular diseases,Percent,2019,0.05405859862012797,0.06638232416461688,0.042460765516095275
Deaths,France,Male,20 to 24,Cardiovascular diseases,Rate,2019,1.7488700022401302,2.1684543024007064,1.3755051723118568
Deaths,France,Female,20 to 24,Cardiovascular diseases,Rate,2019,1.1553950706262441,1.4288101915223623,0.9193493247877959
Deaths,France,Male,25 to 29,Cardiovascular diseases,Number,2019,59.98075962713708,72.55648196453798,48.3848750504805
Deaths,France,Female,25 to 29,Cardiovascular diseases,Number,2019,29.44804121276765,36.64052739681076,23.627216233486116
Deaths,France,Male,25 to 29,Cardiovascular diseases,Percent,2019,0.044712487483151236,0.05429562376950304,0.03611333739409099
Deaths,France,Female,25 to 29,Cardiovascular diseases,Percent,2019,0.062298026936833784,0.07711067407064673,0.049979034124181705
Deaths,France,Male,25 to 29,Cardiovascular diseases,Rate,2019,3.1945209163251227,3.8642924946521955,2.5769346094211043
Deaths,France,Female,25 to 29,Cardiovascular diseases,Rate,2019,1.5449527336267255,1.9222970571871025,1.2395708103019003
Deaths,France,Male,30 to 34,Cardiovascular diseases,Number,2019,120.48077725146189,144.51853540186227,97.56226720444533
Deaths,France,Female,30 to 34,Cardiovascular diseases,Number,2019,51.75129702368356,61.49196963340216,42.40568602463147
Deaths,France,Male,30 to 34,Cardiovascular diseases,Percent,2019,0.07191031384629203,0.08643700573052127,0.058129773455164215
Deaths,France,Female,30 to 34,Cardiovascular diseases,Percent,2019,0.07380898672521027,0.08746129447052345,0.060632730335500436
Deaths,France,Male,30 to 34,Cardiovascular diseases,Rate,2019,6.160827975818283,7.390007404000829,4.988881702870259
Deaths,France,Female,30 to 34,Cardiovascular diseases,Rate,2019,2.540817177057452,3.019051921039618,2.0819786489018877
Deaths,France,Male,35 to 39,Cardiovascular diseases,Number,2019,231.2444442674461,272.8770356237463,191.97710828522176
Deaths,France,Female,35 to 39,Cardiovascular diseases,Number,2019,91.1308976639493,109.45799861906337,75.53209849026287
Deaths,France,Male,35 to 39,Cardiovascular diseases,Percent,2019,0.09822283914699756,0.11598872869102501,0.08172315965107775
Deaths,France,Female,35 to 39,Cardiovascular diseases,Percent,2019,0.0810618684850206,0.09738885110768823,0.06744015818169347
Deaths,France,Male,35 to 39,Cardiovascular diseases,Rate,2019,11.325856432419913,13.3649313780031,9.402626617203627
Deaths,France,Female,35 to 39,Cardiovascular diseases,Rate,2019,4.303234398080923,5.168646824259052,3.566653382271204
Deaths,France,Male,40 to 44,Cardiovascular diseases,Number,2019,469.2470367231226,550.3110650462964,392.882504831204
Deaths,France,Female,40 to 44,Cardiovascular diseases,Number,2019,169.16862966444538,201.03058529856358,139.0967662752734
Deaths,France,Male,40 to 44,Cardiovascular diseases,Percent,2019,0.13079457643579087,0.15300423512018638,0.11006806679958293
Deaths,France,Female,40 to 44,Cardiovascular diseases,Percent,2019,0.09316998992955886,0.11050562886056296,0.07603719350419955
Deaths,France,Male,40 to 44,Cardiovascular diseases,Rate,2019,23.098606783003227,27.08896999884611,19.339575491815058
Deaths,France,Female,40 to 44,Cardiovascular diseases,Rate,2019,8.154117952510948,9.68990000000764,6.704620361772707
Deaths,France,Male,45 to 49,Cardiovascular diseases,Number,2019,883.8879305479434,1011.1191416121776,752.5379718415527
Deaths,France,Female,45 to 49,Cardiovascular diseases,Number,2019,313.9038136541157,379.85022177664774,257.62837685546714
Deaths,France,Male,45 to 49,Cardiovascular diseases,Percent,2019,0.14204393229612472,0.16240803725193334,0.12141588493745142
Deaths,France,Female,45 to 49,Cardiovascular diseases,Percent,2019,0.09438040106847057,0.11395926452587699,0.07735206155435982
Deaths,France,Male,45 to 49,Cardiovascular diseases,Rate,2019,40.08661780989147,45.856884328023106,34.129555367887
Deaths,France,Female,45 to 49,Cardiovascular diseases,Rate,2019,14.013882828489272,16.957986073463584,11.501529224887308
Deaths,France,Male,50 to 54,Cardiovascular diseases,Number,2019,1427.3188430654388,1625.721733870146,1235.9344897669469
Deaths,France,Female,50 to 54,Cardiovascular diseases,Number,2019,446.0614233622848,521.9523062204787,373.3696276247598
Deaths,France,Male,50 to 54,Cardiovascular diseases,Percent,2019,0.14779748723445033,0.16801653987633133,0.12839106018044028
Deaths,France,Female,50 to 54,Cardiovascular diseases,Percent,2019,0.08843060810764164,0.10418416802765355,0.074348667167432
Deaths,France,Male,50 to 54,Cardiovascular diseases,Rate,2019,65.94880222263227,75.11594316640121,57.10595051818658
Deaths,France,Female,50 to 54,Cardiovascular diseases,Rate,2019,20.02610464016909,23.43325594659054,16.762577619722986
Deaths,France,Male,55 to 59,Cardiovascular diseases,Number,2019,2244.4320174533004,2521.2428582470566,1979.6928704921131
Deaths,France,Female,55 to 59,Cardiovascular diseases,Number,2019,701.7897077917663,820.324667275773,592.6445661500994
