measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Poland,Male,20 to 24,Road injuries,Number,2010,476.47527723850294,494.2791229035914,458.3122401927114
Deaths,Poland,Female,20 to 24,Road injuries,Number,2010,82.01529986429067,86.4342671775596,77.36031224098326
Deaths,Poland,Male,25 to 29,Road injuries,Number,2010,404.6306375769645,419.67064774053785,388.05466019890144
Deaths,Poland,Female,25 to 29,Road injuries,Number,2010,66.83350420854688,71.35627039386321,62.82024147024386
Deaths,Poland,Male,30 to 34,Road injuries,Number,2010,333.944110223753,350.09146290083373,319.3803971710012
Deaths,Poland,Female,30 to 34,Road injuries,Number,2010,56.50939832286821,60.47613174403915,52.6203642898598
Deaths,Poland,Male,35 to 39,Road injuries,Number,2010,298.1777382071415,313.912627725213,284.04282207991685
Deaths,Poland,Female,35 to 39,Road injuries,Number,2010,56.306930709686775,60.3805446440162,52.61092376283544
Deaths,Poland,Male,40 to 44,Road injuries,Number,2010,290.17806752033295,305.01764597305936,275.49888189467674
Deaths,Poland,Female,40 to 44,Road injuries,Number,2010,55.3199984094137,59.34188760590199,51.6203964648317
Deaths,Poland,Male,45 to 49,Road injuries,Number,2010,335.07324791713677,352.67723881889856,317.37409094945474
Deaths,Poland,Female,45 to 49,Road injuries,Number,2010,62.386303003902974,66.96792854799075,58.401993203956955
Deaths,Poland,Male,50 to 54,Road injuries,Number,2010,409.30202538518336,430.64200557571075,390.6391720307989
Deaths,Poland,Female,50 to 54,Road injuries,Number,2010,84.35350077379618,89.41916894127033,79.28814006403002
Deaths,Poland,Male,55 to 59,Road injuries,Number,2010,361.5846405255791,378.7793772158662,344.6136580646257
Deaths,Poland,Female,55 to 59,Road injuries,Number,2010,88.40351602110438,94.41274404536533,82.83405320504015
Deaths,Poland,Male,60 to 64,Road injuries,Number,2010,262.91392260335493,275.7107521214252,251.1985793791971
Deaths,Poland,Female,60 to 64,Road injuries,Number,2010,80.02270305651435,84.8545976440619,75.78090599461795
Deaths,Poland,Male,65 to 69,Road injuries,Number,2010,149.39716764641076,156.3867416861926,142.21168819615465
Deaths,Poland,Female,65 to 69,Road injuries,Number,2010,62.47585136032341,66.40937772917059,58.33172033061599
Deaths,Poland,Male,70 to 74,Road injuries,Number,2010,145.8631855675215,154.12757109258345,137.7524153081352
Deaths,Poland,Female,70 to 74,Road injuries,Number,2010,89.61732356852426,96.82507988309516,82.29016925268999
Deaths,Poland,Male,75 to 79,Road injuries,Number,2010,131.7399797934184,139.2610777697725,123.84974635154092
Deaths,Poland,Female,75 to 79,Road injuries,Number,2010,107.96085720532542,116.34028998164601,97.61077022143029
Deaths,Poland,Male,80 plus,Road injuries,Number,2010,132.01745785940514,141.70483930673626,117.08457576003791
Deaths,Poland,Female,80 plus,Road injuries,Number,2010,143.845616319513,155.98421994910512,122.14673940587626
Deaths,Poland,Male,All Ages,Road injuries,Number,2010,4051.739129019014,4121.110990064934,3983.53417481093
Deaths,Poland,Female,All Ages,Road injuries,Number,2010,1175.8194169803037,1215.3404876415252,1129.2906475060654
Deaths,Iceland,Male,20 to 24,Road injuries,Number,2010,1.6071157786593115,2.0190805147789486,1.2502603081010815
Deaths,Iceland,Female,20 to 24,Road injuries,Number,2010,0.4110030775830157,0.5156700234309428,0.3091971261852261
Deaths,Iceland,Male,25 to 29,Road injuries,Number,2010,0.8031267361543466,1.0221254703499218,0.6020435135256362
Deaths,Iceland,Female,25 to 29,Road injuries,Number,2010,0.2723777495249133,0.35281101836255147,0.20607835039428996
